risk_bearer_value,count,resolved_role,is_actual_bearer,confidence,note,example_quote
"inferred: tantially the same. JPMorgan Chase Bank, N.A., Truist Securities, Inc., and BMO Capital Markets Corp. are Joint Bookrunners and Joint Lead Arrangers on the Facility. JPMorgan Chase Bank, N.A",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,The remaining material business terms of the Facility will remain subs
candidate: Virtu Financial LLC,1,other,review,med,manual assignment,EX-99.1 2 exhibit991-092325.htm EX-99.1 Document Exhibit 99.1 Virtu Fi
"certain lenders identified therein and Wells Fargo Bank, National Association",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"reof (the “Credit Agreement” ); and (b) the $1,505,000,000 Term Loan A"
"Vistra Intermediate Company LLC, Citibank, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,Trustee specified in Section 12.01 hereof or such other address as to 
"candidate: LyondellBasell, LYB International Finance, LYB International Finance II or LYB International Finance III",1,other,review,med,manual assignment,the “Description of Debt Securities” and “Description of Guarantees” s
A certain affiliate of J.P. Morgan Securities LLC serves,1,other,review,med,manual assignment,f J.P. Morgan Securities LLC and Morgan Stanley & Co. LLC serve as joi
Sumitomo Mitsui Banking Corporation,1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,Revolving Credit Agreement and First Amendment to Guarantee and Securi
"Day Revolving Credit Agreement, and JPMorgan Chase Bank, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,senior unsecured revolving credit facility in an aggregate principal a
"DUKE ENERGY CORPORATION, a Delaware corporation",1,other,review,med,manual assignment,"TRUST COMPANY, N.A., a national banking association organized under th"
candidate: DFI Holdings,1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,"Co-Documentation Agents CITIBANK, N.A., WELLS FARGO SECURITIES, LLC, B"
"T-Mobile USA, JPMorgan Chase Bank, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"ile US, Inc. (“Parent”), entered into a Second Amended and Restated Cr"
"candidate: us, the guarantors from time to time party thereto, the banks from time to time party thereto and Bank of America, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"r Term Loan Agreement, dated as of August 5, 2025, among us, the guara"
"inferred: MUFG Securities Americas Inc., PNC Capital Markets LLC, TD Securities (USA) LLC and Wells Fargo Securities, LLC",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,e Company and certain of its subsidiary guarantors named therein (the 
"inferred: The Bank of New York Mellon Trust Company, N.A. (formerly known as “The Bank of New York Trust Company, N.A.”)",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"orporation (formerly known as “CVS Corporation”), as issuer, and The B"
"candidate: If a Change of Control Triggering Event occurs, there can be no assurance that Block Financial (or H&R Block",1,other,review,med,manual assignment,Block Financial entered into a Fifth Amended and Restated Credit and G
"candidate: On May 29, 2026, the Parent",1,other,review,med,manual assignment,ised of (i) an approximately $1.5 billion delayed draw term loan facil
candidate: Restricted Subsidiary of the Company,1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,EX-10.1 2 tm268031d2_ex10-1.htm EXHIBIT 10.1 Exhibit 10.1 Execution Ve
Banco Santander,1,other,review,med,manual assignment,issued pursuant to the provisions of an indenture to be dated as of th
inferred: at The Bank,1,other,review,med,manual assignment,orated by reference as an exhibit to the registration statement of whi
Bank of Nova Scotia,1,other,review,med,manual assignment,"Commerce, and BofA Securities, Inc., as joint lead arrangers. The Sixt"
"candidate: Deutsche Bank AG, New York Branch, as initial lender, and GLAS USA LLC",1,other,review,med,manual assignment,"re 7.0% and 9.2% , respectively. Credit Agreement On August 15, 2025, "
"WPC Finance (or the Company|Event of Default. However, WPC Finance and the Company",1,other,review,med,manual assignment,"lobal notes will be made to Euroclear, Clearstream, such nominee or su"
"Because tax would be imposed upon it as a corporation, the cash available for payment on the notes (in its capacity",1,other,review,med,manual assignment,"we refer to as the “Issuer”), Enterprise Products Partners L.P., as pa"
"a syndicate of lenders and Wells Fargo Bank, National Association, serving",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"any (collectively, the “ Borrowers ”), entered into an Amended and Res"
"Operating Partnership|Alexandria Real Estate Equities, L.P.",1,other,review,med,manual assignment,and not to any of its subsidiaries. General The notes will be issued p
"candidate: Operating Partnership|Alexandria Real Estate Equities, L.P.",1,other,review,med,manual assignment,"In addition, neither we nor any of the underwriters make any represent"
"inferred: Existing Senior Secured Credit Facilities”) maturing February 13, 2028, each pursuant to an Amended",1,other,review,med,manual assignment,"lving Facility” and, together with the Existing Term Loan B Facility, "
candidate: Sabre Holdings Corporation,1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,"nc. (“Sabre GLBL”) of $1,325,000,000 (upsized from $975,000,000) aggre"
"Mav Intermediate Holding II Corporation, as the holding company guarantor, Bank of America, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"ng McGraw-Hill Education, Inc. and certain subsidiaries thereof, as bo"
candidate: VTL,1,other,review,med,manual assignment,the Company repaid early all of the $300.0 million in principal amount
candidate: Secured Bank,1,other,review,med,manual assignment,ii) acknowledges and agrees that the Security Documents shall continue
"inferred: Computershare Trust Company, N.A",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,(the “Company”) issued 6.50% senior notes due 2036 (the “New Notes”) a
"Banks (as defined therein), Bank of America, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,and our subsidiaries. “Clearing House Facility” means the Credit Agree
CRISPR Therapeutics AG,1,other,review,med,manual assignment,"ght to direct the time, method and place of conducting any proceeding "
"U.S. Bank Trust Company, National Association",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"00,000 aggregate principal amount of its 3.5% Convertible 1.5 Lien Sen"
candidate: LVLT Limited,1,other,review,med,manual assignment,"m time to time party thereto and Bank of America, N.A., as administrat"
"inferred: J.P. Morgan Securities LLC, Morgan Stanley & Co. LLC and PNC Capital Markets LLC",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,(the “Company”) entered into an underwriting agreement (the “Underwrit
ROYAL CARIBBEAN CRUISES LTD.,1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,EX-4.2 2 tm267192d1_ex4-2.htm EXHIBIT 4.2 Exhibit 4.2 ROYAL CARIBBEAN 
"inferred: billion Senior Unsecured Revolving Credit Facility for a five-year term, maturing on January 16, 2031. JPMorgan Chase Bank, N.A",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,The new agreement extends the Company’s current $1.25 billion Senior U
"the Borrower and Bank of America, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"d Rexford Industrial Realty, L.P. (the “Borrower”), as borrower, enter"
"inferred: BofA Securities, Citigroup, Deutsche Bank Securities, Mizuho and SMBC Nikko",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"The sale of the senior notes is expected to settle on March 4, 2025, s"
candidate: BBVA,1,other,review,med,manual assignment,424B5 1 d432376d424b5.htm 424B5 424B5 Table of Contents Filed pursuant
candidate: KeyBank National Association,1,other,review,med,manual assignment,"nt letter with Morgan Stanley Senior Funding, Inc., KeyBank National A"
"JPMorgan Chase Bank, N.A., acting",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"25, Generac Holdings, Inc. and its wholly owned subsidiaries, Generac "
"candidate: VGPL, Venture Global Gator Express, LLC",1,other,review,med,manual assignment,"Entry into a Material Definitive Agreement. On December 9, 2025 (the “"
"inferred: Computershare Trust Company, National Association (as successor to Wells Fargo Bank, National Association)",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"s of May 27, 2016, supplementing the indenture dated as of May 30, 201"
"inferred: Resideo Funding Inc., a Delaware corporation",1,other,review,med,manual assignment,"Resideo Funding Inc., a Delaware corporation (“Borrower”), entered int"
Weatherford International Ltd.,1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,"sly announced tender offer (the “Tender Offer”) for up to $1,300 milli"
"candidate: Boost Newco Guarantor, LLC|Boost NewCo Borrower, LLC",1,other,review,med,manual assignment,t will be amortized under the effective interest method. Guarantees an
candidate: Blackstone Inc,1,other,review,med,manual assignment,"L.L.C., its indirect subsidiary. The notes are to be fully and uncondi"
"PNC Bank, National Association serves",1,other,review,med,manual assignment,agreement (the “2025 Credit Agreement”) with a syndicate of lenders pr
"Administrative Agent and Citicorp North America, Inc.",1,admin_collateral_agent,no,high,CONFLATION: agent not bearer,"Borrower, the several banks and financial institutions or entities fro"
"inferred: Offering”) of $625 million principal amount of its 0.00% Convertible Senior Notes due 2030 (the “Notes”), including the exercise in full of the initial purchasers’ option to purchase up to an additional $75 million principal amount of Notes. The Notes were issued pursuant to, an Bank Trust Company, National Association",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,ly announced private offering (the “Offering”) of $625 million princip
"candidate: Global Net Lease Operating Partnership, L.P.",1,other,review,med,manual assignment,"y of the OP, this guarantee will be released if the Company achieves a"
"CLEANSPARK, INC., a corporation organized under the laws of Nevada",1,other,review,med,manual assignment,"nking association, as trustee (the “ Trustee ,” as more fully set fort"
"ACN 629 842 799), an Australian company",1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,"E , dated as of December 8, 2025, between IREN Limited (ACN 629 842 79"
"candidate: Ares Holdings L.P., and the other parties thereto and JPMorgan Chase Bank, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,ck or profit participating equity interests of any such entities for s
candidate: Truist Bank,1,other,review,med,manual assignment,senior secured revolving credit facility (“Revolving Credit Facility”)
inferred: a consortium of banks led by JPMorgan,1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"5, Consumers Energy Company (“Consumers”) amended and restated its $1."
Cash Management Bank|Hedge Bank,1,other,review,med,manual assignment,"NDED AND RESTATED CREDIT AGREEMENT Dated as of October 31, 2018 Among "
"inferred: Blackfin Pipeline, LLC",1,other,review,med,manual assignment,"On September 29, 2025 (the “Closing Date”), Blackfin Pipeline, LLC (“B"
"inferred: Bank Trust Company, National Association (as successor to U.S. Bank National Association) (“U.S. Bank”)",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"Bank Trust Company, National Association (as successor to U.S. Bank Na"
"Park Hotels & Resorts Inc., Park Intermediate Holdings LLC, Wells Fargo Bank, National Association",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"of the Company (the “Borrower”), as borrower, entered into a Second Am"
"candidate: JPMorgan Chase bank, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,".1 ) (16.1 ) Total stockholders’ equity 19,633.9 19,633.9 Total capita"
"candidate: Operating Partnership, Sabra",1,other,review,med,manual assignment,Guarantees Unless otherwise specified in the applicable prospectus sup
"MUFG Bank, Ltd.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"“ CEI ” means Cheniere Energy, Inc. “ Credit Agreement ” means the Cre"
BBVA,1,other,review,med,manual assignment,"anish courts in relation to any Bail-in Dispute. Each of BBVA, the tru"
"candidate: BofA Securities, Inc. serves",1,other,review,med,manual assignment,curities” in the accompanying prospectus contain more detailed descrip
"candidate: Parent, LLC",1,other,review,med,manual assignment,"htm EX-99.2 EX-99.2 Exhibit 99.2 Lumen Technologies, Inc. Announces Pr"
"KeyBank National Association, acting",1,other,review,med,manual assignment,"der a base indenture, dated as of July 28, 2022, and the fourth supple"
"inferred: Conflict of Interest The Bank of New York Mellon Trust Company, N.A",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,ed and accepted by us or any underwriter outside of Taiwan (the “Place
"candidate: Constellation Energy Generation, LLC and the U.S. Department of Energy",1,other,review,med,manual assignment,Creation of a Direct Financial Obligation or an Obligation under an Of
"MetLife, Inc. is responsible or liable",1,other,review,med,manual assignment,"(as successor in interest to J.P. Morgan Trust Company, National Assoc"
Substitution of Woodside Finance,1,other,review,med,manual assignment,antees will be governed by New York law. The notes will be governed by
"inferred: U.S. Bank Trust Company, National Association, a national banking association",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,persons outside the United States in accordance with Regulation S unde
"Nomura Holdings, Inc.",1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,"bject to the same assumptions, qualifications and limitations as set f"
candidate: BKV,1,other,review,med,manual assignment,or ​ • in any other circumstances falling within Section 86 of the Fin
"inferred: Bank Trust Company, National Association (as successor in interest to U.S. Bank National Association)",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"Bank Trust Company, National Association (as successor in interest to "
inferred: THE BANK OF NEW YORK MELLON,1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,EX-4.2 4 ef20064707_ex4-2.htm EXHIBIT 4.2 Exhibit 4.2 GE VERNOVA INC. 
"LYB International Finance III, LLC",1,other,review,med,manual assignment,"ny, N.A., as base trustee (as successor-in-interest to Wells Fargo Ban"
"inferred: The Bank of New York Mellon Trust Company, N.A. (as successor to The Bank of New York)",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,pectus. The notes will be issued under our indenture dated as of Septe
"Computershare Trust Company, N.A., as securities intermediary and paying agent, Bank of America, N.A.",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"ted Receivables Loan Agreement”), by and among the Borrower, as borrow"
"PG&E Corporation, the HoldCo Existing Notes Trustee and JPMorgan Chase Bank, N.A.",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,es”) and (ii) $1 billion aggregate principal amount of 5.250% Senior S
SAIC,1,other,review,med,manual assignment,Entry into a Material Definitive Agreement The information required by
"candidate: Revolving Credit Agreement. An affiliate of an underwriter, Sumitomo Mitsui Banking Corporation, serves",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"an affiliate of a representative of the underwriters, Morgan Stanley B"
"Sumitomo Mitsui Banking Corporation, serves",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"edit Agreement (as so amended and restated, the “5-Year Revolving Cred"
Sabre Holdings Corporation|Sabre Holdings|Sabre Financing Holdings LLC,1,other,review,med,manual assignment,"Concurrently with the Exchange Offers, Sabre GLBL is offering to its l"
"candidate: ERP Operating Limited Partnership, Bank of America, N.A.",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"trant. On December 3, 2025, ERP Operating Limited Partnership (the “Op"
"Chief Financial Officer DROPBOX HOLDING, LLC.|Vice President and Treasurer DROPBOX INTERNATIONAL UNLIMITED COMPANY",1,other,review,med,manual assignment,ible Notes and the Existing 2028 Convertible Notes. “Existing Credit A
"candidate: Embraer Finance, Embraer",1,other,review,med,manual assignment,"complete understanding of the notes and the guarantees, please refer t"
SLB N.V. (SLB Limited) (formerly known as Schlumberger Limited,1,other,review,med,manual assignment,tor. See “Description of the Notes—Ranking of the Notes and Guarantees
candidate: SLB,1,other,review,med,manual assignment,"n 13(a) of the Exchange Act. ☐ Item 8.01 Other Events. On May 7, 2026,"
"inferred: conditions, which the Initial Purchasers exercised in full on May 16 Bank Trust Company, National Association",1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,). The aggregate principal amount of the Notes sold in the offering wa
NEE,1,other,review,med,manual assignment,"and may act, as trustee under various indentures, trusts and guarantee"
"SURGERY CENTER HOLDINGS, INC.",1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,"GUARANTORS party hereto from time to time and WILMINGTON TRUST, NATION"
ConocoPhillips Company,1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,EX-4.2 3 tm2430231d1_ex4-2.htm EXHIBIT 4.2 Exhibit 4.2 CONOCOPHILLIPS 
"inferred: by and among Talen Energy Supply, Agreement, dated as of May 17, 2023, by and among Talen Energy Supply, LLC, the lending institutions from time to time parties thereto, Citibank, N.A",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"pply, LLC, the subsidiary guarantors party thereto and Citibank, N.A.,"
"WASTE CONNECTIONS, INC.",1,other,review,med,manual assignment,EX-4.2 2 tm268779d2_ex4-2.htm EXHIBIT 4.2 Exhibit 4.2 WASTE CONNECTION
"inferred: s subsidiaries and Bank of America, N.A",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"rm Loan Facility On April 27, 2026, Octave entered into a credit agree"
inferred: Computershare Trust Company N.A,1,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"the United States absent registration or an applicable exemption from,"
FORTIVE CORPORATION,1,other,review,med,manual assignment,of the Note) Signature Guarantee: Signature must be guaranteed by a pa
"inferred: C (“Vistra Intermediate”), the guarantors party thereto, Credit Suisse AG, Cayman Islands Branch (as successor to Deutsche Bank AG New York Branch)",1,other,review,med,manual assignment,"C (“Vistra Intermediate”), the guarantors party thereto, Credit Suisse"
candidate: GLADSTONE LAND Corp,1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,may own up to 9.8%). See “ Description of Capital Stock—Restrictions o
"JPMorgan Chase Bank, N.A. acts",1,lender_bank,YES_partial,med,named bank lender; confirm vs agent,☐ Item 1.01 Entry into a Material Definitive Agreement. Amendment to a
candidate: Phillips 66 Company,1,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,Underwriting Agreement incorporated by reference in the Terms Agreemen
QUEST DIAGNOSTICS INCORPORATED,1,other,review,med,manual assignment,EX-4.2 2 tm2613096d2_ex4-2.htm EXHIBIT 4.2 Exhibit 4.2 QUEST DIAGNOSTI
